common_fields
accommodates
availability_30
availability_365
availability_60
availability_90
bathrooms
calculated_host_listings_count
calculated_host_listings_count_entire_homes
calculated_host_listings_count_private_rooms
calculated_host_listings_count_shared_rooms
calendar_last_scraped
calendar_updated
description
first_review
has_availability
host_about
host_acceptance_rate
host_has_profile_pic
host_id
host_identity_verified
host_is_superhost
host_listings_count
host_location
host_name
host_neighbourhood
host_picture_url
host_response_rate
host_response_time
host_since
host_thumbnail_url
host_total_listings_count
host_url
host_verifications
id
instant_bookable
last_review
last_scraped
latitude
license
listing_url
longitude
maximum_maximum_nights
maximum_minimum_nights
maximum_nights_avg_ntm
minimum_maximum_nights
minimum_minimum_nights
minimum_nights_avg_ntm
name
neighborhood_overview
neighbourhood
neighbourhood_cleansed
neighbourhood_group_cleansed
number_of_reviews
number_of_reviews_ltm
picture_url
price
property_type
review_scores_accuracy
review_scores_checkin
review_scores_cleanliness
review_scores_communication
review_scores_location
review_scores_rating
review_scores_value
reviews_per_month
room_type
scrape_id
Unnamed: 0
